id,name,type,source,license,commercial
e-14554,Band-resisted push-up,exercise,centr,Centr (scraped — personal use),NO
e-23672,Banded alternating overhead press,exercise,centr,Centr (scraped — personal use),NO
e-25838,Banded alternating reverse lunge + bicep curl,exercise,centr,Centr (scraped — personal use),NO
e-25839,Banded alternating skaters + presses,exercise,centr,Centr (scraped — personal use),NO
e-23644,Banded bear crawl,exercise,centr,Centr (scraped — personal use),NO
e-23671,Banded bent-over row,exercise,centr,Centr (scraped — personal use),NO
e-23673,Banded bicep curl,exercise,centr,Centr (scraped — personal use),NO
e-23670,Banded chest fly,exercise,centr,Centr (scraped — personal use),NO
e-25843,Banded donkey kicks (left),exercise,centr,Centr (scraped — personal use),NO
e-25844,Banded donkey kicks (right),exercise,centr,Centr (scraped — personal use),NO
e-25845,Banded donkey kicks + leg extension (left),exercise,centr,Centr (scraped — personal use),NO
e-25846,Banded donkey kicks + leg extension (right),exercise,centr,Centr (scraped — personal use),NO
e-25847,Banded dumbbell glute bridge + abduction,exercise,centr,Centr (scraped — personal use),NO
e-25848,Banded dumbbell half rollback + rear fly,exercise,centr,Centr (scraped — personal use),NO
e-25849,Banded dumbbell prone back extension,exercise,centr,Centr (scraped — personal use),NO
e-25850,Banded dumbbell roll-up + rotational press,exercise,centr,Centr (scraped — personal use),NO
e-25851,Banded dumbbell squat + alternating heel raise,exercise,centr,Centr (scraped — personal use),NO
e-25852,Banded dumbbell squat + tap + press,exercise,centr,Centr (scraped — personal use),NO
e-19098,Banded front raise (left),exercise,centr,Centr (scraped — personal use),NO
e-19099,Banded front raise (right),exercise,centr,Centr (scraped — personal use),NO
e-23654,Banded lateral squat shuffle,exercise,centr,Centr (scraped — personal use),NO
e-23648,Banded mountain climbers,exercise,centr,Centr (scraped — personal use),NO
e-23642,Banded plank shoulder taps,exercise,centr,Centr (scraped — personal use),NO
e-30186,Banded pull-apart,exercise,centr,Centr (scraped — personal use),NO
e-23657,Banded push-up (fabric band),exercise,centr,Centr (scraped — personal use),NO
e-19103,Banded rope pushdown,exercise,centr,Centr (scraped — personal use),NO
e-23650,Banded running on the spot,exercise,centr,Centr (scraped — personal use),NO
e-19105,Banded seated row,exercise,centr,Centr (scraped — personal use),NO
e-30187,Banded shoulder pass-through,exercise,centr,Centr (scraped — personal use),NO
mw-side-walks-resisted,Banded Side Walks,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
e-25863,Banded side-lying donkey kicks (left),exercise,centr,Centr (scraped — personal use),NO
e-25864,Banded side-lying donkey kicks (right),exercise,centr,Centr (scraped — personal use),NO
e-25856,Banded side-lying leg lifts (left),exercise,centr,Centr (scraped — personal use),NO
e-25857,Banded side-lying leg lifts (right),exercise,centr,Centr (scraped — personal use),NO
e-25865,Banded side-lying leg lifts + donkey kicks (left),exercise,centr,Centr (scraped — personal use),NO
e-25866,Banded side-lying leg lifts + donkey kicks (right),exercise,centr,Centr (scraped — personal use),NO
e-19106,Banded single-arm pushdown (left),exercise,centr,Centr (scraped — personal use),NO
e-19107,Banded single-arm pushdown (right),exercise,centr,Centr (scraped — personal use),NO
e-25867,Banded single-leg mountain climbers (left),exercise,centr,Centr (scraped — personal use),NO
e-25868,Banded single-leg mountain climbers (right),exercise,centr,Centr (scraped — personal use),NO
e-23645,Banded squat pulse + cross-body punches,exercise,centr,Centr (scraped — personal use),NO
e-23646,Banded star jumps,exercise,centr,Centr (scraped — personal use),NO
e-23652,Banded step-out punch (left),exercise,centr,Centr (scraped — personal use),NO
e-23653,Banded step-out punch (right),exercise,centr,Centr (scraped — personal use),NO
e-23674,Banded tricep kickbacks,exercise,centr,Centr (scraped — personal use),NO
e-30188,Banded tricep stretch (left),exercise,centr,Centr (scraped — personal use),NO
e-30189,Banded tricep stretch (right),exercise,centr,Centr (scraped — personal use),NO
e-19110,Banded underhand-grip pulldown,exercise,centr,Centr (scraped — personal use),NO
e-19111,Banded wide face pull,exercise,centr,Centr (scraped — personal use),NO
e-23675,Banded wood chop (left),exercise,centr,Centr (scraped — personal use),NO
e-23676,Banded wood chop (right),exercise,centr,Centr (scraped — personal use),NO
mw-barbell-30-degree-shrug,Barbell 30 Degree Shrug,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
fedb-Barbell_Ab_Rollout,Barbell Ab Rollout,exercise,free-exercise-db,Public Domain (Unlicense),YES
fedb-Barbell_Ab_Rollout_-_On_Knees,Barbell Ab Rollout - On Knees,exercise,free-exercise-db,Public Domain (Unlicense),YES
e-14360,Barbell back squat,exercise,centr,Centr (scraped — personal use),NO
e-14361,Barbell back squat (25% lifting weight),exercise,centr,Centr (scraped — personal use),NO
e-14362,Barbell back squat (50% lifting weight),exercise,centr,Centr (scraped — personal use),NO
e-12904,Barbell back Squats,exercise,centr,Centr (scraped — personal use),NO
e-12738,Barbell back squats 50%,exercise,centr,Centr (scraped — personal use),NO
