file,exercise,source,gender,category,muscle,equipment
female-Barbell-barbell-behind-the-back-30-degree-shrug-front.mp4,Barbell Behind The Back 30 Degree Shrug,musclewiki,female,Pull,Traps,Barbell
male-Barbell-barbell-behind-the-back-shrug-side.mp4,Barbell Behind The Back Shrug,musclewiki,male,Pull,Traps,Barbell
female-Barbell-barbell-behind-the-back-shrug-front.mp4,Barbell Behind The Back Shrug,musclewiki,female,Pull,Traps,Barbell
male-barbell-behind-the-back-wrist-curl-front.mp4,Barbell Behind The Back Wrist Curl,musclewiki,male,Pull,Forearms,Barbell
female-barbell-behind-the-back-wrist-curl-front.mp4,Barbell Behind The Back Wrist Curl,musclewiki,female,Pull,Forearms,Barbell
male-Barbell-barbell-behind-the-neck-press-side.mp4,Barbell Behind The Neck Press,musclewiki,male,Push,Shoulders,Barbell
female-Barbell-barbell-behind-the-neck-press-side.mp4,Barbell Behind The Neck Press,musclewiki,female,Push,Shoulders,Barbell
male-Barbell-barbell-behind-the-neck-seated-overhead-press-front.mp4,Barbell Behind The Neck Seated Overhead Press,musclewiki,male,Push,Shoulders,Barbell
female-Barbell-barbell-behind-the-neck-seated-overhead-press-front.mp4,Barbell Behind The Neck Seated Overhead Press,musclewiki,female,Push,Shoulders,Barbell
male-barbell-bench-press-front.mp4,Barbell Bench Press,musclewiki,male,Push,Chest,Barbell
female-barbell-bench-press-front.mp4,Barbell Bench Press,musclewiki,female,Push,Chest,Barbell
male-barbell-bent-over-row-front.mp4,Barbell Bent Over Row,musclewiki,male,Pull,Lats,Barbell
female-barbell-bent-over-row-front.mp4,Barbell Bent Over Row,musclewiki,female,Pull,Lats,Barbell
male-Barbell-barbell-block-conventional-deadlift-side.mp4,Barbell Block Conventional Deadlift,musclewiki,male,Pull,Lower back,Barbell
female-Barbell-barbell-block-conventional-deadlift-side.mp4,Barbell Block Conventional Deadlift,musclewiki,female,Pull,Lower back,Barbell
male-Barbell-barbell-bradford-press-side.mp4,Barbell Bradford Press,musclewiki,male,Push,Shoulders,Barbell
female-Barbell-barbell-bradford-press-side.mp4,Barbell Bradford Press,musclewiki,female,Push,Shoulders,Barbell
male-Barbell-barbell-bulgarian-split-squat-front.mp4,Barbell Bulgarian Split Squat,musclewiki,male,Legs,Glutes,Barbell
female-Barbell-barbell-bulgarian-split-squat-side.mp4,Barbell Bulgarian Split Squat,musclewiki,female,Legs,Glutes,Barbell
male-barbell-calf-jump-front.mp4,Barbell Calf Jump,musclewiki,male,Legs,Calves,Barbell
female-barbell-calf-jump-front.mp4,Barbell Calf Jump,musclewiki,female,Legs,Calves,Barbell
male-Barbell-barbell-calf-raises-side.mp4,Barbell Calf Raises,musclewiki,male,Legs,Calves,Barbell
female-Barbell-barbell-calf-raises-front.mp4,Barbell Calf Raises,musclewiki,female,Legs,Calves,Barbell
male-Barbell-barbell-clean-and-jerk-front.mp4,Barbell Clean And Jerk,musclewiki,male,Pull,Lower back,Barbell
female-Barbell-barbell-clean-and-jerk-side.mp4,Barbell Clean And Jerk,musclewiki,female,Pull,Lower back,Barbell
male-Barbell-barbell-clean-and-press-side.mp4,Barbell Clean And Press,musclewiki,male,Pull,Lower back,Barbell
female-Barbell-barbell-clean-and-press-front.mp4,Barbell Clean And Press,musclewiki,female,Pull,Lower back,Barbell
uIxUbWBh-ryqiVsBL.mp4,Barbell close-grip bench press,centr,,Push,,
male-barbell-coan-deadlift-front.mp4,Barbell Coan Deadlift,musclewiki,male,Legs,Glutes,Barbell
female-barbell-coan-deadlift-front.mp4,Barbell Coan Deadlift,musclewiki,female,Legs,Glutes,Barbell
male-Barbell-barbell-conventional-pause-deadlift-side.mp4,Barbell Conventional Pause Deadlift,musclewiki,male,Pull,Lower back,Barbell
female-Barbell-barbell-conventional-pause-deadlift-side.mp4,Barbell Conventional Pause Deadlift,musclewiki,female,Pull,Lower back,Barbell
male-Barbell-barbell-curl-front.mp4,Barbell Curl,musclewiki,male,Pull,Biceps,Barbell
female-Barbell-barbell-curl-side.mp4,Barbell Curl,musclewiki,female,Pull,Biceps,Barbell
male-Barbell-barbell-curtsy-deficit-lunge-front.mp4,Barbell Curtsy Deficit Lunge,musclewiki,male,Legs,Glutes,Barbell
